"id","parent_path","name","complete_name","parent_id","create_uid","create_date","write_uid","write_date","removal_strategy_id","category_code","category_level","account_intransit","account_srt_id","property_stock_reval_account_input_categ_id","property_stock_reval_account_output_categ_id","allow_negative_stock"
1554,"1554/",Respiratory and Anesthesia and Resuscitation Products,Respiratory and Anesthesia and Resuscitation Products,,1,2022-12-19 08:19:03.460,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4210,"1554/4210/",Respiratory Therapy,Respiratory and Anesthesia and Resuscitation Products / Respiratory Therapy,1554,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1555,"1554/1555/",Reusable Mask,Respiratory and Anesthesia and Resuscitation Products / Reusable Mask,1554,1,2022-12-19 08:19:03.460,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
797,"797/",Rivets,Rivets,,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
798,"797/798/",Blind Rivets,Rivets / Blind Rivets,797,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
861,"861/",Roller Sport,Roller Sport,,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
862,"861/862/",Scooter / Skuter,Roller Sport / Scooter / Skuter,861,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3549,"861/862/3549/",Skuter Listrik,Roller Sport / Scooter / Skuter / Skuter Listrik,862,1,2022-12-19 08:19:44.188,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4247,"861/862/4247/",Skuter Pedal,Roller Sport / Scooter / Skuter / Skuter Pedal,862,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
807,"807/",Roofing Materials,Roofing Materials,,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1979,"807/1979/",Roofing Drains,Roofing Materials / Roofing Drains,807,1,2022-12-19 08:19:10.481,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
808,"807/808/",Roofing Membranes,Roofing Materials / Roofing Membranes,807,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1869,"807/1869/",Roofing Vents,Roofing Materials / Roofing Vents,807,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1408,"807/1408/",Shingles,Roofing Materials / Shingles,807,1,2022-12-19 08:19:01.671,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
194,"194/",Roti & Kue,Roti & Kue,,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3461,"194/3461/",Biskuit & Waffer,Roti & Kue / Biskuit & Waffer,194,1,2022-12-19 08:19:42.250,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
471,"194/471/",Kue Beras & Mochi,Roti & Kue / Kue Beras & Mochi,194,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1210,"194/1210/",Kue Kastengel,Roti & Kue / Kue Kastengel,194,1,2022-12-19 08:18:56.933,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1135,"194/1135/",Kue Kering Lainnya,Roti & Kue / Kue Kering Lainnya,194,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3343,"194/3343/",Kue Lidah Kucing,Roti & Kue / Kue Lidah Kucing,194,1,2022-12-19 08:19:34.847,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
